lat,lng,timestamp,speed,direction
36.14096584254603,120.20169651959084,1732239164000,81.3,59
36.143973510867134,120.2080220097293,1732239194000,76.8,59
36.14695313674736,120.21430375913472,1732239224000,78.7,59
36.1497849527072,120.22042817369234,1732239254000,74.8,60
36.15257922759343,120.22619473031534,1732239284000,71.4,59
36.15543234341057,120.23225210338788,1732239314000,78.1,61
36.15803042814552,120.23869044398508,1732239344000,78.1,65
36.160155813550055,120.2453603358801,1732239374000,76.6,71
36.16178173164224,120.2521032064615,1732239404000,76.1,75
36.251362483018575,120.45634176564954,1732239464000,35.9,27
36.16723131617989,120.2869880669798,1732239554000,76.8,79
36.16827026149976,120.2939236195099,1732239584000,76.4,79
36.16924130586021,120.30073969315,1732239614000,74.8,79
36.17034973401817,120.30772138556549,1732239644000,77.4,79
36.17144423186185,120.31479339964709,1732239674000,76.1,79
36.1724313512304,120.32184128691026,1732239704000,75.7,83
36.172432846702,120.328461972491,1732239734000,65.9,95
36.17164455816649,120.33416731715504,1732239764000,57.4,100
36.17079143627848,120.33998184959808,1732239794000,71.6,101
36.16931228814814,120.34704613255909,1732239824000,80.7,110
36.16641451779739,120.35368804789114,1732239854000,82.4,125
